"주차장번호";"주차장명";"주차장구분";"주차장유형";"소재지도로명주소";"소재지지번주소";"주차구획수";"급지구분";"부제시행구분";"운영요일";"평일운영시작시각";"평일운영종료시각";"토요일운영시작시각";"토요일운영종료시각";"공휴일운영시작시각";"공휴일운영종료시각";"요금정보";"주차기본시간";"주차기본요금";"추가단위시간";"추가단위요금";"1일주차권요금적용시간";"1일주차권요금";"월정기권요금";"결제방법";"특기사항";"관리기관명";"전화번호";"위도";"경도";"데이터기준일자"
"204-2-000012";"복정 제5";"공영";"노외";"경기도 성남시 수정구 복정로 55";"경기도 성남시 수정구 복정동 688번지";220;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45659231;127.1267996;"2022-06-08"
"204-2-000013";"수정";"공영";"노외";"경기도 성남시 수정구 수정로279번길 3";"경기도 성남시 수정구 신흥동 37번지";71;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44971199;127.1457155;"2022-06-08"
"204-2-000014";"신흥 제1";"공영";"노외";"경기도 성남시 수정구 탄리로 16";"경기도 성남시 수정구 신흥동 6593번지";66;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.4388208;127.1395247;"2022-06-08"
"204-2-000015";"신흥 2동";"공영";"노외";"경기도 성남시 수정구 희망로533번길 35";"경기도 성남시 수정구 신흥동 466번지";199;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;300;10;100;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44839239;127.149022;"2022-06-08"
"204-2-000016";"신흥 3동";"공영";"노외";"경기도 성남시 수정구 공원로333번길 3";"경기도 성남시 수정구 신흥동 2473번지";71;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44275675;127.1509951;"2022-06-08"
"204-2-000017";"신흥 제7";"공영";"노외";"경기도 성남시 수정구 수정남로 85";"경기도 성남시 수정구 신흥동 5542-2번지";276;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44180073;127.1369764;"2022-06-08"
"204-2-000018";"태평4동 제1";"공영";"노외";"경기도 성남시 수정구 공원로 411";"경기도 성남시 수정구 태평동 7300-3번지";97;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44710477;127.1439927;"2022-06-08"
"204-2-000019";"태평";"공영";"노외";"경기도 성남시 수정구 남문로52번길 9-9";"경기도 성남시 수정구 태평동 3752-4번지";135;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44511353;127.1332352;"2022-06-08"
"204-2-000020";"태평동 제1";"공영";"노외";"경기도 성남시 수정구 제일로 236";"경기도 성남시 수정구 태평동 4320번지";119;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;300;10;100;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44717951;127.1292157;"2022-06-08"
"204-2-000021";"태평2동 제1";"공영";"노외";"경기도 성남시 수정구 태평동3307-59";"경기도 성남시 수정구 태평동 3307-59";95;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44597159;127.1389306;"2022-06-08"
