"번호";"주차장번호";"주차장위도";"주차장경도";"목적지번호";"목적지위도";"목적지경도";"거리계산"
70;"205-1-000023";37.44102938;127.1489622;100;37.44156366;127.1481208;100
71;"205-1-000024";37.44148548;127.1502422;84;37.44162767;127.1470013;290
72;"205-1-000024";37.44148548;127.1502422;100;37.44156366;127.1481208;190
73;"205-1-000025";37.44180486;127.1513186;5;37.4421381;127.1540812;250
74;"205-1-000025";37.44180486;127.1513186;19;37.44204158;127.1544439;280
75;"205-1-000025";37.44180486;127.1513186;76;37.44373281;127.1527975;250
76;"205-1-000025";37.44180486;127.1513186;100;37.44156366;127.1481208;280
77;"205-1-000026";37.44283784;127.1534496;5;37.4421381;127.1540812;100
78;"205-1-000026";37.44283784;127.1534496;19;37.44204158;127.1544439;120
79;"205-1-000026";37.44283784;127.1534496;76;37.44373281;127.1527975;110
80;"205-1-000027";37.44332179;127.1544045;5;37.4421381;127.1540812;130
81;"205-1-000027";37.44332179;127.1544045;19;37.44204158;127.1544439;140
82;"205-1-000027";37.44332179;127.1544045;76;37.44373281;127.1527975;150
84;"205-1-000028";37.44376745;127.1553501;4;37.44433091;127.1583171;270
83;"205-1-000028";37.44376745;127.1553501;5;37.4421381;127.1540812;210
85;"205-1-000028";37.44376745;127.1553501;19;37.44204158;127.1544439;210
86;"205-1-000028";37.44376745;127.1553501;76;37.44373281;127.1527975;230
87;"205-1-000029";37.44425622;127.1563953;4;37.44433091;127.1583171;170
88;"205-1-000029";37.44425622;127.1563953;19;37.44204158;127.1544439;300
89;"205-1-000030";37.43358664;127.1310047;8;37.43194433;127.1301282;200
90;"205-1-000031";37.43380891;127.1320672;8;37.43194433;127.1301282;270
91;"205-1-000032";37.43375538;127.1315925;8;37.43194433;127.1301282;240
92;"205-1-000033";37.43457591;127.1358334;99;37.43600263;127.1342848;210
93;"205-1-000034";37.43493465;127.1372758;99;37.43600263;127.1342848;290
94;"205-1-000035";37.43594178;127.1389906;13;37.4375733;127.1408435;240
95;"205-1-000035";37.43594178;127.1389906;29;37.43598069;127.1423985;300
96;"205-1-000036";37.43643336;127.1398015;13;37.4375733;127.1408435;160
97;"205-1-000036";37.43643336;127.1398015;29;37.43598069;127.1423985;230
98;"205-1-000037";37.43669671;127.1406236;13;37.4375733;127.1408435;100
99;"205-1-000037";37.43669671;127.1406236;27;37.43720809;127.14391;300
100;"205-1-000037";37.43669671;127.1406236;29;37.43598069;127.1423985;180
101;"205-1-000038";37.43896822;127.1725474;1;37.44034279;127.1728719;160
102;"205-1-000039";37.43486159;127.1711731;7;37.43485226;127.1711582;0
103;"205-1-000041";37.43317877;127.1640741;20;37.43335061;127.1626548;130
104;"205-1-000042";37.43285883;127.1630409;20;37.43335061;127.1626548;60
105;"205-1-000043";37.4323934;127.1700571;7;37.43485226;127.1711582;290
